uid,period,contr_nrmd,contr_oth_nrmd
0,1,0.0,0.5
0,2,0.5,0.125
0,3,0.0,0.375
0,4,0.0,0.25
0,5,0.5,0.0
0,6,0.0,0.125
0,7,0.0,0.0
0,8,0.0,0.125
0,9,0.0,0.25
0,10,0.0,0.125
1,1,0.5,0.375
1,2,0.0,0.25
1,3,0.5,0.25
1,4,0.0,0.25
1,5,0.0,0.125
1,6,0.5,0.0
1,7,0.0,0.0
1,8,0.5,0.0
1,9,0.0,0.25
1,10,0.0,0.125
2,1,0.5,0.375
2,2,0.5,0.375
2,3,1.0,0.375
2,4,0.5,0.375
2,5,0.5,0.375
2,6,0.5,0.5
2,7,1.0,0.375
2,8,0.5,0.375
2,9,0.5,0.375
2,10,0.0,0.375
3,1,0.5,0.375
3,2,0.5,0.375
3,3,0.5,0.5
3,4,0.5,0.375
3,5,0.5,0.375
3,6,0.5,0.5
3,7,0.5,0.5
3,8,0.5,0.375
3,9,0.5,0.375
3,10,0.5,0.25
4,1,0.5,0.5
4,2,1.0,0.375
4,3,0.0,0.5
4,4,0.5,0.375
4,5,1.0,0.125
4,6,0.0,0.25
4,7,0.5,0.375
4,8,1.0,0.25
4,9,0.5,0.25
4,10,0.0,0.0
5,1,0.5,0.5
5,2,1.0,0.375
5,3,0.5,0.375
5,4,1.0,0.25
5,5,0.0,0.375
5,6,0.0,0.25
5,7,0.5,0.375
5,8,0.0,0.5
5,9,0.0,0.375
5,10,0.0,0.0
6,1,0.5,0.25
6,2,0.5,0.125
6,3,0.0,0.625
6,4,0.0,0.375
6,5,1.0,0.125
6,6,0.5,0.25
6,7,0.5,0.375
6,8,0.0,0.375
6,9,0.5,0.25
6,10,0.0,0.0
7,1,0.5,0.25
7,2,0.5,0.375
7,3,0.5,0.375
7,4,0.5,0.0
7,5,0.5,0.375
7,6,0.5,0.375
7,7,0.5,0.0
7,8,0.0,0.5
7,9,0.0,0.25
7,10,0.0,0.125
8,1,0.0,0.25
8,2,0.0,0.375
8,3,0.0,0.375
8,4,0.0,0.125
8,5,0.0,0.125
8,6,0.0,0.375
8,7,0.0,0.125
8,8,0.0,0.125
8,9,0.0,0.125
8,10,0.0,0.0
9,1,0.0,0.125
9,2,0.0,0.25
9,3,0.0,0.125
9,4,0.0,0.125
9,5,0.0,0.0
9,6,0.0,0.125
9,7,1.0,0.0
9,8,0.0,0.125
9,9,0.0,0.0
9,10,0.0,0.0
10,1,0.0,0.125
10,2,0.0,0.25
10,3,0.0,0.125
10,4,0.0,0.125
10,5,0.0,0.0
10,6,0.0,0.125
10,7,0.0,0.25
10,8,0.0,0.125
10,9,0.0,0.0
10,10,0.0,0.0
11,1,0.5,0.25
11,2,0.5,0.0
11,3,0.5,0.125
11,4,0.5,0.125
11,5,0.0,0.125
11,6,0.5,0.25
11,7,0.5,0.0
11,8,0.0,0.25
11,9,0.5,0.125
11,10,0.5,0.125
12,1,0.0,0.375
12,2,0.0,0.125
12,3,0.0,0.25
12,4,0.0,0.25
12,5,0.0,0.125
12,6,0.0,0.375
12,7,0.0,0.125
12,8,0.0,0.25
12,9,0.0,0.25
12,10,0.0,0.25
13,1,1.0,0.375
13,2,1.0,0.375
13,3,1.0,0.25
13,4,1.0,0.125
13,5,0.0,0.375
13,6,0.0,0.125
13,7,0.0,0.0
13,8,0.0,0.125
13,9,0.0,0.0
13,10,0.0,0.125
14,1,0.0,0.375
14,2,0.5,0.125
14,3,0.5,0.5
14,4,0.5,0.5
14,5,0.0,0.125
14,6,0.5,0.375
14,7,1.0,0.375
14,8,0.5,0.375
14,9,0.0,0.25
14,10,0.5,0.375
15,1,0.0,0.25
15,2,0.0,0.125
15,3,0.0,0.125
15,4,0.0,0.0
15,5,0.0,0.0
15,6,0.0,0.0
15,7,0.0,0.0
15,8,0.0,0.0
15,9,0.0,0.0
15,10,0.0,0.0
16,1,1.0,0.375
16,2,1.0,0.5
16,3,1.0,0.5
16,4,0.0,0.375
16,5,0.5,0.375
16,6,0.0,0.125
16,7,0.5,0.125
16,8,0.0,0.125
16,9,0.0,0.25
16,10,0.0,0.125
17,1,0.0,0.375
17,2,0.0,0.5
17,3,0.0,0.5
17,4,0.0,0.5
17,5,0.0,0.375
17,6,0.0,0.125
17,7,0.0,0.5
17,8,0.0,0.125
17,9,0.0,0.5
17,10,0.0,0.5
18,1,0.5,0.375
18,2,0.5,0.375
18,3,1.0,0.125
18,4,0.5,0.25
18,5,0.0,0.25
18,6,0.5,0.125
18,7,0.0,0.375
18,8,0.0,0.125
18,9,0.5,0.25
18,10,0.0,0.0
19,1,0.5,0.375
19,2,0.5,0.375
19,3,0.0,0.375
19,4,0.0,0.375
19,5,1.0,0.0
19,6,0.0,0.25
19,7,0.5,0.25
19,8,0.0,0.125
19,9,0.5,0.25
19,10,0.0,0.0
20,1,1.0,0.375
20,2,1.0,0.375
20,3,1.0,0.375
20,4,1.0,0.375
20,5,1.0,0.25
20,6,0.0,0.125
20,7,0.0,0.125
20,8,1.0,0.25
20,9,1.0,0.25
20,10,1.0,0.5
21,1,0.5,0.375
21,2,1.0,0.5
21,3,1.0,0.625
21,4,1.0,0.625
21,5,0.0,0.625
21,6,0.5,0.25
21,7,1.0,0.5
21,8,0.0,0.5
21,9,0.5,0.125
21,10,0.5,0.125
22,1,0.5,0.375
22,2,1.0,0.5
22,3,1.0,0.625
22,4,1.0,0.625
22,5,1.0,0.375
22,6,1.0,0.125
22,7,1.0,0.5
22,8,1.0,0.25
22,9,0.0,0.25
22,10,0.0,0.25
23,1,1.0,0.375
23,2,1.0,0.375
23,3,1.0,0.375
23,4,0.0,0.25
23,5,1.0,0.25
23,6,1.0,0.375
23,7,1.0,0.5
23,8,1.0,0.375
23,9,1.0,0.25
23,10,0.0,0.25
24,1,1.0,0.25
24,2,1.0,0.25
24,3,1.0,0.25
24,4,1.0,0.125
24,5,1.0,0.0
24,6,0.0,0.125
24,7,0.0,0.125
24,8,0.0,0.125
24,9,0.0,0.125
24,10,0.0,0.0
25,1,1.0,0.25
25,2,1.0,0.25
25,3,1.0,0.25
25,4,0.0,0.375
25,5,0.0,0.25
25,6,0.5,0.0
25,7,0.0,0.125
25,8,0.5,0.0
25,9,0.0,0.125
25,10,0.0,0.0
26,1,0.5,0.375
26,2,0.5,0.25
26,3,0.0,0.375
26,4,0.5,0.25
26,5,0.0,0.125
26,6,0.5,0.25
26,7,0.0,0.125
26,8,0.0,0.25
26,9,0.5,0.125
26,10,0.0,0.375
27,1,1.0,0.25
27,2,0.5,0.25
27,3,1.0,0.125
27,4,1.0,0.125
27,5,0.0,0.125
27,6,1.0,0.125
27,7,0.0,0.125
27,8,0.5,0.125
27,9,0.5,0.125
27,10,1.0,0.125
28,1,0.0,0.375
28,2,0.5,0.5
28,3,0.0,0.25
28,4,0.5,0.125
28,5,0.5,0.125
28,6,0.0,0.375
28,7,0.0,0.0
